alpha,val_macro_f1,runtime_s
0.01,0.6804980022819198,0.04
0.1,0.6607693700056834,0.06
0.5,0.4813145827055891,0.04
1.0,0.40288002244556614,0.04
2.0,0.3867889893600516,0.02
