components,val_macro_f1,explained_variance,pred_class1_rate,runtime_s
2000,0.40074234988380675,0.7818953394889832,0.083,5.5
1000,0.4752895314998641,0.5679970383644104,0.15125,2.2
500,0.5602897134832611,0.389543354511261,0.27125,1.1
100,0.6556396794583539,0.15895208716392517,0.44825,0.4
