model,C,validation_macro_f1,fit_seconds
Word + character TF-IDF,0.25,0.8123271466990516,3.090426875045523
Word + character TF-IDF,0.5,0.8092569216561488,3.785928707977291
Word + character TF-IDF,1.0,0.8064135564135564,5.0023564580478705
Hybrid TF-IDF + stylometry,0.25,0.8173571418682395,3.115652750013396
Hybrid TF-IDF + stylometry,0.5,0.8149683146608198,3.8308940840070136
Hybrid TF-IDF + stylometry,1.0,0.813395714016832,5.009047584026121
