lr,epochs,alpha,val_macro_f1,best_threshold,val_macro_f1_tuned,fit_seconds
0.5,60,1e-05,0.8490549819848693,-0.0011023949506037962,0.8497904045297762,5.5
1.0,60,1e-05,0.8492670610845234,0.0056512494697398075,0.849620089913228,5.5
1.0,60,0.0001,0.8489560796458533,0.013068663280504822,0.8492661127480301,5.5
0.5,60,0.0001,0.8489113400876773,-0.0035209466053038943,0.8487418209662841,5.5
1.0,30,0.0001,0.841836027241607,0.037959043520973415,0.847828435691536,2.7
0.3,60,1e-05,0.8401801974791359,-0.06028346216995951,0.8472991432939414,5.5
1.0,30,1e-05,0.8437749516862041,0.0809283594467323,0.8471689456210463,2.8
0.3,60,0.0001,0.8396926164569605,-0.06257945556219759,0.846240558498752,5.5
0.5,30,1e-05,0.8419796557351953,-0.0252944565111344,0.8430648041131842,2.8
0.5,30,0.0001,0.8419427523749844,-0.02418058514831842,0.8420062193179949,2.8
0.3,30,1e-05,0.8323367009648315,-0.011451209610794459,0.8332916233188675,2.8
0.3,30,0.0001,0.8305578659314032,-0.011327001479246963,0.8317114491323165,2.8
