style_weight,default_threshold,default_validation_macro_f1,best_threshold,tuned_validation_macro_f1,fit_seconds
0.2,0.0,0.8482721795150038,-0.0625,0.8509638697284836,7.144388667016756
0.15,0.0,0.8500209871074457,-0.07499999999999998,0.8502964942435709,7.725152999977581
0.3,0.0,0.8447913468390067,0.08750000000000002,0.8495112655499564,9.27200208301656
0.1,0.0,0.8476514434893021,-0.04999999999999999,0.8487815978713267,6.2224394580116495
