feature_space,word_ngram_range,character_ngram_range,raw_character_ngrams,word_features,character_features,default_validation_macro_f1,best_threshold,tuned_validation_macro_f1,total_seconds
word13_rawchar35,"(1, 3)","(3, 5)",True,160000,160000,0.8524263750499199,0.08071330994367609,0.8551477268078298,95.08122541598277
word13_charwb26,"(1, 3)","(2, 6)",False,160000,160000,0.8519996564277739,-0.008806028366088698,0.8525920672698879,48.22891670803074
word13_charwb35,"(1, 3)","(3, 5)",False,140000,140000,0.8490493938356733,0.05777687579393375,0.8520535652504986,34.599667291971855
word12_rawchar35,"(1, 2)","(3, 5)",True,140000,140000,0.8500038125129377,0.030241492688655877,0.8515486139862619,82.25250229204539
word12_charwb35,"(1, 2)","(3, 5)",False,100000,100000,0.8466762044641545,0.016536216437816796,0.8501468146420783,30.563291666971054
word12_charwb26,"(1, 2)","(2, 6)",False,140000,140000,0.8449765685247068,0.02079993888735774,0.8452427144033775,37.8111140410183
