loss,alpha,style_weight,validation_macro_f1,fit_seconds
hinge,0.0001,0.1,0.8476514434893021,6.11713949998375
hinge,0.0001,0.05,0.8456548144307967,6.263124332996085
hinge,0.0001,0.02,0.8340514590494428,6.43532845901791
