model,val_macro_f1,best_threshold,val_macro_f1_tuned,fit_seconds
"sgd_fit loss=modified_huber, lr=0.5",0.8419427523749844,-0.02418058514831842,0.8420062193179949,2.7
"sgd_fit loss=hinge, lr=5.0",0.7864685899063953,-0.6945234955013126,0.8411924942516227,2.7
"sgd_fit loss=modified_huber, lr=5.0",0.5187757416859584,4.506726763027309,0.8359252469631192,2.7
averaged hinge SGD (current final model),0.8288637486977806,-0.04945325851440445,0.8306579996746157,4.6
"sgd_fit loss=log_loss, lr=5.0",0.8305289487099804,0.057282557349438296,0.8306141886455523,2.7
"sgd_fit loss=hinge, lr=0.5",0.8103720382255115,-0.108754123718523,0.8166001842334513,2.7
"sgd_fit loss=log_loss, lr=0.5",0.7824108924797122,-0.058243299523428035,0.7862450238839866,2.7
