components,tie_rate,true_class1_rate_among_ties,val_macro_f1_k2,val_macro_f1_k1
2000,0.231,0.7380952380952381,0.40074234988380675,0.49436820003419535
1000,0.28825,0.6660884648742411,0.4752895314998641,0.5567518146262298
500,0.361,0.603185595567867,0.5602897134832611,0.6144809855840188
100,0.35375,0.5477031802120141,0.6556396794583539,0.667905558972165
