loss,alpha,style_weight,validation_macro_f1,fit_seconds
hinge,0.0001,0.05,0.8172533551141834,6.0604135830071755
hinge,1e-05,0.05,0.8113633513106735,2.425393500016071
modified_huber,1e-05,0.05,0.8080307278283954,1.684726583014708
modified_huber,0.0001,0.05,0.8077949473898236,0.7020534169860184
