n_estimators,max_depth,learning_rate,selected_trees,validation_macro_f1,fit_seconds
300,6,0.1,300,0.727263172797889,56.84561612497782
300,4,0.1,300,0.7126259948043014,40.92564108304214
500,4,0.05,500,0.7040817882068522,71.12081491696881
