loss,alpha,validation_macro_f1,fit_seconds
hinge,0.0001,0.8111657331222256,6.1409528339863755
hinge,1e-05,0.8013814429236652,3.297717334004119
modified_huber,0.0001,0.8002521387962658,0.7001169169670902
modified_huber,1e-05,0.7957818382025472,1.552155125013087
